38, 49, 4, 10, 15, 41, 12, 24, 5, 22, 28, 13, 30, 31, 0, 51, 43, 32, 21, 9, 27, 23, 2, 17, 42, 50, 3, 37, 47, 35, 1, 52, 45, 14, 44, 8, 40, 33, 29, 11, 34, 20, 18, 25, 36, 16, 39, 26, 6, 7, 48, 19, 46, 
15, 3, 24, 23, 38, 20, 36, 12, 49, 47, 27, 7, 32, 8, 35, 37, 0, 5, 4, 43, 2, 14, 6, 42, 19, 1, 46, 26, 11, 34, 21, 30, 18, 39, 41, 33, 13, 40, 22, 16, 9, 45, 10, 51, 52, 50, 44, 25, 17, 28, 31, 29, 48, 
24, 16, 44, 12, 8, 45, 46, 38, 1, 7, 25, 51, 33, 29, 35, 19, 52, 31, 11, 4, 9, 34, 17, 48, 26, 20, 22, 0, 36, 5, 3, 6, 37, 42, 39, 18, 27, 23, 13, 2, 30, 15, 43, 21, 14, 49, 50, 10, 40, 32, 28, 47, 41, 
28, 7, 19, 39, 13, 8, 2, 1, 5, 38, 52, 32, 22, 26, 41, 43, 10, 46, 51, 21, 50, 48, 36, 4, 23, 40, 12, 44, 18, 3, 24, 31, 20, 14, 25, 11, 33, 42, 27, 47, 35, 16, 45, 34, 49, 6, 9, 17, 37, 15, 29, 0, 30, 
0, 8, 21, 9, 45, 28, 38, 25, 5, 12, 37, 34, 44, 24, 2, 16, 32, 46, 36, 29, 42, 33, 7, 6, 51, 31, 47, 43, 10, 40, 3, 14, 35, 50, 52, 23, 49, 1, 18, 41, 4, 48, 22, 19, 27, 15, 39, 11, 20, 26, 13, 30, 17, 
24, 25, 18, 29, 36, 15, 38, 37, 43, 2, 28, 4, 33, 12, 9, 31, 13, 34, 0, 23, 39, 6, 14, 19, 47, 30, 27, 40, 5, 21, 51, 26, 46, 1, 52, 7, 3, 49, 44, 42, 10, 17, 48, 41, 22, 32, 16, 45, 35, 11, 20, 50, 8, 
17, 9, 8, 1, 6, 39, 26, 32, 18, 28, 10, 12, 48, 5, 33, 16, 45, 15, 14, 40, 37, 24, 22, 4, 52, 30, 50, 7, 34, 2, 25, 43, 3, 35, 29, 51, 11, 41, 47, 20, 31, 19, 49, 13, 36, 46, 42, 23, 44, 21, 0, 27, 38, 
52, 46, 35, 39, 3, 31, 25, 43, 0, 21, 47, 28, 12, 24, 36, 42, 17, 26, 37, 29, 7, 13, 44, 41, 38, 8, 40, 1, 34, 15, 30, 27, 18, 5, 2, 22, 19, 50, 4, 33, 6, 45, 51, 48, 14, 16, 23, 9, 20, 32, 49, 11, 10, 
24, 39, 2, 33, 44, 26, 10, 4, 20, 34, 7, 43, 50, 21, 38, 27, 36, 16, 49, 15, 42, 9, 19, 18, 31, 51, 40, 45, 11, 12, 5, 13, 23, 52, 30, 48, 37, 14, 0, 6, 28, 47, 41, 25, 8, 3, 17, 22, 32, 35, 1, 46, 29, 
38, 26, 25, 23, 6, 52, 43, 2, 33, 21, 45, 47, 13, 16, 49, 0, 8, 42, 50, 11, 9, 1, 19, 46, 35, 5, 31, 22, 17, 18, 7, 30, 41, 36, 4, 28, 24, 20, 37, 29, 14, 51, 48, 32, 39, 27, 40, 10, 34, 12, 3, 15, 44, 
